 Australia,Ben Alexander,1 try,https://en.wikipedia.org/wiki/Ben_Alexander_(rugby_union)
 Australia,Al Baxter,1 try,https://en.wikipedia.org/wiki/Al_Baxter
 Australia,Kurtley Beale,1 try,https://en.wikipedia.org/wiki/Kurtley_Beale
 Australia,Tony Daly,1 try,https://en.wikipedia.org/wiki/Tony_Daly
 Australia,Owen Finegan,1 try,https://en.wikipedia.org/wiki/Owen_Finegan
 Australia,Elton Flatley,1 try,https://en.wikipedia.org/wiki/Elton_Flatley
 Australia,Nathan Grey,1 try,https://en.wikipedia.org/wiki/Nathan_Grey_(rugby_union)
 Australia,Mark Hartill,1 try,https://en.wikipedia.org/wiki/Mark_Hartill
 Australia,Stephen Hoiles,1 try,https://en.wikipedia.org/wiki/Stephen_Hoiles
 Australia,Michael Hooper,1 try,https://en.wikipedia.org/wiki/Michael_Hooper_(rugby_union)
 Australia,Rob Horne,1 try,https://en.wikipedia.org/wiki/Rob_Horne
 Australia,James Horwill,1 try,https://en.wikipedia.org/wiki/James_Horwill
 Australia,Digby Ioane,1 try,https://en.wikipedia.org/wiki/Digby_Ioane
 Australia,Rod Kafer,1 try,https://en.wikipedia.org/wiki/Rod_Kafer
 Australia,Sekope Kepu,1 try,https://en.wikipedia.org/wiki/Sekope_Kepu
 Australia,Jason Little,1 try,https://en.wikipedia.org/wiki/Jason_Little_(rugby_player)
 Australia,Salesi Ma'afu,1 try,https://en.wikipedia.org/wiki/Salesi_Ma%27afu
 Australia,Pat McCabe,1 try,https://en.wikipedia.org/wiki/Pat_McCabe_(rugby_union)
 Australia,Andrew McIntyre,1 try,https://en.wikipedia.org/wiki/Andrew_McIntyre
 Australia,Stephen Moore,1 try,https://en.wikipedia.org/wiki/Stephen_Moore_(rugby_union)
 Australia,Dean Mumm,1 try,https://en.wikipedia.org/wiki/Dean_Mumm
 Australia,James O'Connor,1 try,https://en.wikipedia.org/wiki/James_O%27Connor_(rugby)
 Australia,Brett Papworth,1 try,https://en.wikipedia.org/wiki/Brett_Papworth
 Australia,Jeremy Paul,1 try,https://en.wikipedia.org/wiki/Jeremy_Paul
 Australia,Simon Poidevin,1 try,https://en.wikipedia.org/wiki/Simon_Poidevin
 Australia,John Roe,1 try,https://en.wikipedia.org/wiki/John_Roe_(rugby_union)
 Australia,Wendell Sailor,1 try,https://en.wikipedia.org/wiki/Wendell_Sailor
 Australia,Radike Samo,1 try,https://en.wikipedia.org/wiki/Radike_Samo
 Australia,Nathan Sharpe,1 try,https://en.wikipedia.org/wiki/Nathan_Sharpe
 Australia,Rob Simmons,1 try,https://en.wikipedia.org/wiki/Rob_Simmons_(rugby_union)
 Australia,Peter Slattery,1 try,https://en.wikipedia.org/wiki/Peter_Slattery
 Australia,Henry Speight,1 try,https://en.wikipedia.org/wiki/Henry_Speight
 Australia,Tiaan Straaus,1 try,https://en.wikipedia.org/wiki/Tiaan_Straaus
 Australia,Ilivasi Tabua,1 try,https://en.wikipedia.org/wiki/Ilivasi_Tabua
 Australia,Joe Tomane,1 try,https://en.wikipedia.org/wiki/Joe_Tomane
 Australia,Matt Toomua,1 try,https://en.wikipedia.org/wiki/Matt_Toomua
 Australia,Steve Tuynman,1 try,https://en.wikipedia.org/wiki/Steve_Tuynman
 Australia,Chris Whitaker,1 try,https://en.wikipedia.org/wiki/Chris_Whitaker
 Australia,David Wilson,1 try,"https://en.wikipedia.org/wiki/David_Wilson_(rugby_union,_born_1967)"
 Canada,DTH van der Merwe,6 tries,https://en.wikipedia.org/wiki/DTH_van_der_Merwe
 Canada,Al Charron,4 tries,https://en.wikipedia.org/wiki/Al_Charron
 Canada,Morgan Williams,4 tries,https://en.wikipedia.org/wiki/Morgan_Williams_(Canadian_rugby_player)
 Canada,Rod Snow,3 tries,https://en.wikipedia.org/wiki/Rod_Snow
 Canada,Aaron Carpenter,2 tries,https://en.wikipedia.org/wiki/Aaron_Carpenter
 Canada,Phil Mackenzie,2 tries,https://en.wikipedia.org/wiki/Phil_Mackenzie
 Canada,Kyle Nichols,2 tries,https://en.wikipedia.org/w/index.php?title=Kyle_Nichols&action=edit&redlink=1
 Canada,Pat Palmer,2 tries,https://en.wikipedia.org/w/index.php?title=Pat_Palmer_(rugby_player)&action=edit&redlink=1
 Canada,Ryan Smith,2 tries,https://en.wikipedia.org/wiki/Ryan_Smith_(rugby_union)
 Canada,Winston Stanley,2 tries,https://en.wikipedia.org/wiki/Winston_Stanley
 Canada,Conor Trainor,2 tries,https://en.wikipedia.org/wiki/Conor_Trainor
 Canada,Paul Vaesen,2 tries,https://en.wikipedia.org/w/index.php?title=Paul_Vaesen_(rugby_union)&action=edit&redlink=1
 Canada,Aaron Abrams,1 try,https://en.wikipedia.org/w/index.php?title=Aaron_Abrams_(rugby_union)&action=edit&redlink=1
 Canada,Mark Cardinal,1 try,https://en.wikipedia.org/wiki/Mark_Cardinal
 Canada,Jamie Cudmore,1 try,https://en.wikipedia.org/wiki/Jamie_Cudmore
 Canada,Craig Culpan,1 try,https://en.wikipedia.org/wiki/Craig_Culpan
 Canada,Glen Ennis,1 try,https://en.wikipedia.org/wiki/Glen_Ennis
 Canada,Matt Evans,1 try,https://en.wikipedia.org/wiki/Matt_Evans_(rugby_union)
 Canada,Sean Fauth,1 try,https://en.wikipedia.org/w/index.php?title=Sean_Fauth&action=edit&redlink=1
 Canada,Rob Frame,1 try,https://en.wikipedia.org/w/index.php?title=Rob_Frame&action=edit&redlink=1
 Canada,Quentin Fyffe,1 try,https://en.wikipedia.org/w/index.php?title=Quentin_Fyffe&action=edit&redlink=1
 Canada,Jeff Hassler,1 try,https://en.wikipedia.org/wiki/Jeff_Hassler
 Canada,Mike James,1 try,https://en.wikipedia.org/wiki/Mike_James_(rugby)
 Canada,Colin McKenzie,1 try,https://en.wikipedia.org/w/index.php?title=Colin_McKenzie_(rugby_union)&action=edit&redlink=1
 Canada,Gordon McKinnon,1 try,https://en.wikipedia.org/w/index.php?title=Gordon_McKinnon&action=edit&redlink=1
 Canada,Ander Monro,1 try,https://en.wikipedia.org/wiki/Ander_Monro
 Canada,Pat Riordan,1 try,https://en.wikipedia.org/wiki/Pat_Riordan
 Canada,Robert Ross,1 try,https://en.wikipedia.org/wiki/Bobby_Ross_(rugby)
 Canada,Jebb Sinclair,1 try,https://en.wikipedia.org/wiki/Jebb_Sinclair
 Canada,Scott Stewart,1 try,https://en.wikipedia.org/wiki/Scott_Stewart_(rugby_player)
 Canada,Ian Stuart,1 try,https://en.wikipedia.org/w/index.php?title=Ian_Stuart_(rugby_union)&action=edit&redlink=1
 Canada,Kevin Tkachuk,1 try,https://en.wikipedia.org/wiki/Kevin_Tkachuk
 Canada,Chris Tynan,1 try,https://en.wikipedia.org/wiki/Chris_Tynan
 Canada,Mark Wyatt,1 try,https://en.wikipedia.org/wiki/Mark_Wyatt_(Canadian_rugby_player)
 Ivory Coast,Aboubakar Camara,1 try,https://en.wikipedia.org/wiki/Aboubakar_Camara
 Ivory Coast,Alfred Okou,1 try,https://en.wikipedia.org/wiki/Alfred_Okou
 Ivory Coast,Aboubacar Soulama,1 try,https://en.wikipedia.org/wiki/Aboubacar_Soulama
 England,Rory Underwood,11 tries,https://en.wikipedia.org/wiki/Rory_Underwood
 England,Will Greenwood,7 tries,https://en.wikipedia.org/wiki/Will_Greenwood
 England,Chris Ashton,6 tries,https://en.wikipedia.org/wiki/Chris_Ashton
 England,Josh Lewsey,6 tries,https://en.wikipedia.org/wiki/Josh_Lewsey
 England,Dan Luger,6 tries,https://en.wikipedia.org/wiki/Dan_Luger
 England,Neil Back,5 tries,https://en.wikipedia.org/wiki/Neil_Back
 England,Mike Harrison,5 tries,https://en.wikipedia.org/wiki/Mike_Harrison_(rugby_union)
 England,Jason Robinson,5 tries,https://en.wikipedia.org/wiki/Jason_Robinson_(rugby_player)
 England,Will Carling,4 tries,https://en.wikipedia.org/wiki/Will_Carling
 England,Mark Cueto,4 tries,https://en.wikipedia.org/wiki/Mark_Cueto
 England,Jeremy Guscott,4 tries,https://en.wikipedia.org/wiki/Jeremy_Guscott
 England,Paul Sackey,4 tries,https://en.wikipedia.org/wiki/Paul_Sackey
 England,Iain Balshaw,3 tries,https://en.wikipedia.org/wiki/Iain_Balshaw
 England,Martin Corry,3 tries,https://en.wikipedia.org/wiki/Martin_Corry_(rugby_union)
 England,Nick Easter,3 tries,https://en.wikipedia.org/wiki/Nick_Easter
 England,Phil Greening,3 tries,https://en.wikipedia.org/wiki/Phil_Greening
 England,Jack Nowell,3 tries,https://en.wikipedia.org/wiki/Jack_Nowell
 England,Anthony Watson,3 tries,https://en.wikipedia.org/wiki/Anthony_Watson_(rugby_union)
 England,Mike Brown,2 tries,https://en.wikipedia.org/wiki/Mike_Brown_(rugby_union)
 England,Mike Catt,2 tries,https://en.wikipedia.org/wiki/Mike_Catt
 England,Ben Cohen,2 tries,https://en.wikipedia.org/wiki/Ben_Cohen_(rugby_player)
 England,Matt Dawson,2 tries,https://en.wikipedia.org/wiki/Matt_Dawson
 England,Phil de Glanville,2 tries,https://en.wikipedia.org/wiki/Phil_de_Glanville
 England,Ben Foden,2 tries,https://en.wikipedia.org/wiki/Ben_Foden
 England,Andy Gomarsall,2 tries,https://en.wikipedia.org/wiki/Andy_Gomarsall
 England,Shontayne Hape,2 tries,https://en.wikipedia.org/wiki/Shontayne_Hape
 England,Austin Healey,2 tries,https://en.wikipedia.org/wiki/Austin_Healey
 England,Richard Hill,2 tries,https://en.wikipedia.org/wiki/Richard_Hill_(flanker)
 England,Matt Perry,2 tries,https://en.wikipedia.org/wiki/Matt_Perry_(rugby_player)
 England,Manu Tuilagi,2 tries,https://en.wikipedia.org/wiki/Manu_Tuilagi
 England,Tony Underwood,2 tries,https://en.wikipedia.org/wiki/Tony_Underwood
 England,Peter Winterbottom,2 tries,https://en.wikipedia.org/wiki/Peter_Winterbottom
 England,Ben Youngs,2 tries,https://en.wikipedia.org/wiki/Ben_Youngs
 England,Stuart Abbott,1 try,https://en.wikipedia.org/wiki/Stuart_Abbott
 England,Delon Armitage,1 try,https://en.wikipedia.org/wiki/Delon_Armitage
 England,Olly Barkley,1 try,https://en.wikipedia.org/wiki/Olly_Barkley
 England,Nick Beal,1 try,https://en.wikipedia.org/wiki/Nick_Beal
 England,Tom Croft,1 try,https://en.wikipedia.org/wiki/Tom_Croft
 England,Lawrence Dallaglio,1 try,https://en.wikipedia.org/wiki/Lawrence_Dallaglio
 England,Matt Dawson,1 try,https://en.wikipedia.org/wiki/Matt_Dawson
 England,Wade Dooley,1 try,https://en.wikipedia.org/wiki/Wade_Dooley
 England,Andy Farrell,1 try,https://en.wikipedia.org/wiki/Andy_Farrell
 England,Nigel Heslop,1 try,https://en.wikipedia.org/wiki/Nigel_Heslop
 England,Jonny May,1 try,https://en.wikipedia.org/wiki/Jonny_May
 England,Lewis Moody,1 try,https://en.wikipedia.org/wiki/Lewis_Moody
 England,Nigel Redman,1 try,https://en.wikipedia.org/wiki/Nigel_Redman
 England,Gary Rees,1 try,https://en.wikipedia.org/wiki/Gary_Rees
 England,Tom Rees,1 try,https://en.wikipedia.org/wiki/Tom_Rees_(rugby_player)
 England,Mark Regan,1 try,https://en.wikipedia.org/wiki/Mark_Regan
 England,Dean Richards,1 try,https://en.wikipedia.org/wiki/Dean_Richards_(rugby_player)
 England,Jamie Salmon,1 try,https://en.wikipedia.org/wiki/Jamie_Salmon
 England,Kevin Simms,1 try,https://en.wikipedia.org/wiki/Kevin_Simms
 England,Micky Skinner,1 try,https://en.wikipedia.org/wiki/Michael_Skinner_(rugby_union)
 England,Henry Slade,1 try,https://en.wikipedia.org/wiki/Henry_Slade_(rugby_player)
 England,Mathew Tait,1 try,https://en.wikipedia.org/wiki/Mathew_Tait
 England,Steve Thompson,1 try,https://en.wikipedia.org/wiki/Steve_Thompson_(rugby_union)
 England,Mike Tindall,1 try,https://en.wikipedia.org/wiki/Mike_Tindall
 England,Phil Vickery,1 try,https://en.wikipedia.org/wiki/Phil_Vickery_(rugby_player)
 England,Billy Vunipola,1 try,https://en.wikipedia.org/wiki/Billy_Vunipola
 England,Jonathan Webb,1 try,https://en.wikipedia.org/wiki/Jonathan_Webb
 England,Jonny Wilkinson,1 try,https://en.wikipedia.org/wiki/Jonny_Wilkinson
 Fiji,Vereniki Goneva,5 tries,https://en.wikipedia.org/wiki/Vereniki_Goneva
 Fiji,Viliame Satala,4 tries,https://en.wikipedia.org/wiki/Viliame_Satala
 Fiji,Rupeni Caucaunibuca,3 tries,https://en.wikipedia.org/wiki/Rupeni_Caucaunibuca
 Fiji,Vilimoni Delasau,3 tries,https://en.wikipedia.org/wiki/Vilimoni_Delasau
 Fiji,Fero Lasagavibau,3 tries,https://en.wikipedia.org/wiki/Fero_Lasagavibau
 Fiji,Kele Leawere,3 tries,https://en.wikipedia.org/wiki/Kele_Leawere
 Fiji,Akapusi Qera,3 tries,https://en.wikipedia.org/wiki/Akapusi_Qera
 Fiji,Norman Ligairi,2 tries,https://en.wikipedia.org/wiki/Norman_Ligairi
 Fiji,Nemani Nadolo,2 tries,https://en.wikipedia.org/wiki/Nemani_Nadolo
 Fiji,Apisai Naevo,2 tries,https://en.wikipedia.org/wiki/Apisai_Naevo
 Fiji,Salacieli Naivilawasa,2 tries,https://en.wikipedia.org/wiki/Salacieli_Naivilawasa
 Fiji,Leone Nakarawa,2 tries,https://en.wikipedia.org/wiki/Leone_Nakarawa
 Fiji,Kameli Ratuvou,2 tries,https://en.wikipedia.org/wiki/Kameli_Ratuvou
 Fiji,Imanueli Tikomaimakogia,2 tries,https://en.wikipedia.org/w/index.php?title=Imanueli_Tikomaimakogia&action=edit&redlink=1
 Fiji,Aisea Tuilevu,2 tries,https://en.wikipedia.org/wiki/Aisea_Tuilevu
 Fiji,Marika Vunibaka,2 tries,https://en.wikipedia.org/wiki/Marika_Vunibaka
 Fiji,Jioji Cama,1 try,https://en.wikipedia.org/wiki/Jioji_Cama
 Fiji,Tevita Cavubati,1 try,https://en.wikipedia.org/wiki/Tevita_Cavubati
 Fiji,Jimi Damu,1 try,https://en.wikipedia.org/wiki/Jimi_Damu
 Fiji,Graham Dewes,1 try,https://en.wikipedia.org/wiki/Graham_Dewes
 Fiji,Peceli Gale,1 try,https://en.wikipedia.org/wiki/Peceli_Gale
 Fiji,Emori Katalau,1 try,https://en.wikipedia.org/wiki/Emori_Katalau
 Fiji,Nemia Kenatale,1 try,https://en.wikipedia.org/wiki/Nemia_Kenatale
 Fiji,Kini Murimurivalu,1 try,https://en.wikipedia.org/wiki/Kini_Murimurivalu
 Fiji,Setareki Naivaluwaqa,1 try,https://en.wikipedia.org/w/index.php?title=Setareki_Naivaluwaqa&action=edit&redlink=1
 Fiji,Mali Nakauta,1 try,https://en.wikipedia.org/w/index.php?title=Mali_Nakauta&action=edit&redlink=1
 Fiji,Kavekini Nalaga,1 try,https://en.wikipedia.org/wiki/Kavekini_Nalaga
 Fiji,Napolioni Nalaga,1 try,https://en.wikipedia.org/wiki/Napolioni_Nalaga
 Fiji,Pita Naruma,1 try,https://en.wikipedia.org/wiki/Pita_Naruma
 Fiji,Isoa Neivua,1 try,https://en.wikipedia.org/wiki/Isoa_Neivua
 Fiji,Manasa Qoro,1 try,https://en.wikipedia.org/wiki/Manasa_Qoro
 Fiji,Seru Rabeni,1 try,https://en.wikipedia.org/wiki/Seru_Rabeni
 Fiji,Aca Ratuva,1 try,https://en.wikipedia.org/wiki/Aca_Ratuva
 Fiji,Jacob Raulini,1 try,https://en.wikipedia.org/w/index.php?title=Jacob_Raulini&action=edit&redlink=1
 Fiji,Iliatia Savai,1 try,https://en.wikipedia.org/w/index.php?title=Iliatia_Savai&action=edit&redlink=1
 Fiji,Greg Smith,1 try,https://en.wikipedia.org/wiki/Greg_Smith_(rugby_union)
 Fiji,Netani Talei,1 try,https://en.wikipedia.org/wiki/Netani_Talei
 Fiji,Alfred Uluinayau,1 try,https://en.wikipedia.org/wiki/Alfred_Uluinayau
 Fiji,Ben Volavola,1 try,https://en.wikipedia.org/wiki/Ben_Volavola
 Fiji,Alifereti Mocelutu Vuivau,1 try,https://en.wikipedia.org/w/index.php?title=Alifereti_Mocelutu_Vuivau&action=edit&redlink=1
 France,Vincent Clerc,11 tries,https://en.wikipedia.org/wiki/Vincent_Clerc
 France,Christophe Dominici,8 tries,https://en.wikipedia.org/wiki/Christophe_Dominici
 France,Jean-Baptiste Lafond,6 tries,https://en.wikipedia.org/wiki/Jean-Baptiste_Lafond
 France,Émile Ntamack,6 tries,https://en.wikipedia.org/wiki/%C3%89mile_Ntamack
 France,Didier Camberabero,5 tries,https://en.wikipedia.org/wiki/Didier_Camberabero
 France,Philippe Saint-André,5 tries,https://en.wikipedia.org/wiki/Philippe_Saint-Andr%C3%A9
 France,Philippe Sella,5 tries,https://en.wikipedia.org/wiki/Philippe_Sella
 France,Philippe Bernat-Salles,4 tries,https://en.wikipedia.org/wiki/Philippe_Bernat-Salles
 France,Denis Charvet,4 tries,https://en.wikipedia.org/wiki/Denis_Charvet
 France,Yannick Jauzion,4 tries,https://en.wikipedia.org/wiki/Yannick_Jauzion
 France,Thierry Lacroix,4 tries,https://en.wikipedia.org/wiki/Thierry_Lacroix
 France,Patrice Lagisquet,4 tries,https://en.wikipedia.org/wiki/Patrice_Lagisquet
 France,Lionel Nallet,4 tries,https://en.wikipedia.org/wiki/Lionel_Nallet
 France,Laurent Rodriguez,4 tries,https://en.wikipedia.org/wiki/Laurent_Rodriguez
 France,Thierry Dusautoir,3 tries,https://en.wikipedia.org/wiki/Thierry_Dusautoir
 France,Imanol Harinordoquy,3 tries,https://en.wikipedia.org/wiki/Imanol_Harinordoquy
 France,Brian Liebenberg,3 tries,https://en.wikipedia.org/wiki/Brian_Liebenberg
 France,Rodolphe Modin,3 tries,https://en.wikipedia.org/wiki/Rodolphe_Modin
 France,Ugo Mola,3 tries,https://en.wikipedia.org/wiki/Ugo_Mola
 France,Pierre Berbizier,2 tries,https://en.wikipedia.org/wiki/Pierre_Berbizier
 France,Serge Betsen,2 tries,https://en.wikipedia.org/wiki/Serge_Betsen
 France,Serge Blanco,2 tries,https://en.wikipedia.org/wiki/Serge_Blanco
 France,Julien Bonnaire,2 tries,https://en.wikipedia.org/wiki/Julien_Bonnaire
 France,Sébastien Chabal,2 tries,https://en.wikipedia.org/wiki/S%C3%A9bastien_Chabal
 France,Jean-Jacques Crenca,2 tries,https://en.wikipedia.org/wiki/Jean-Jacques_Crenca
 France,Richard Dourthe,2 tries,https://en.wikipedia.org/wiki/Richard_Dourthe
 France,Wesley Fofana,2 tries,https://en.wikipedia.org/wiki/Wesley_Fofana
 France,Xavier Garbajosa,2 tries,https://en.wikipedia.org/wiki/Xavier_Garbajosa
 France,Sofiane Guitoune,2 tries,https://en.wikipedia.org/wiki/Sofiane_Guitoune
